	PINK1-PRKN Mediated Mitophagy	Receptor Mediated Mitophagy
Smarca2	0.0	0.0
Smarcd1	0.0	0.0
Arid1b	0.0	0.0
Coprs	0.0	0.0
Wdr77	0.0	0.0
Arid1a	0.0	0.0
Prmt7	0.0	0.0
Smarce1	0.0	0.0
Pbrm1	0.0	0.0
Smarcd2	0.0	0.0
Prmt5	0.0	0.0
Smarcc1	0.0	0.0
Smarcc2	0.0	0.0
Carm1	0.0	0.0
Arid2	0.0	0.0
Smarcb1	0.0	0.0
Rps2	0.0	0.0
Actl6a	0.0	0.0
Prmt1	0.0	0.0
Actl6b	0.0	0.0
Prmt3	0.0	0.0
Dnmt3a	0.0	0.0
Smarca4	0.0	0.0
Prmt6	0.0	0.0
Foxo3	0.0	0.0
Smad3	0.0	0.0
Smad4	0.0	0.0
Smad2	0.0	0.0
Akt2	0.0	0.0
Akt1	0.0	0.0
Akt3	0.0	0.0
Foxo1	0.0	0.0
Rxra	0.0	0.0
Mef2c	0.0	0.0
Tcf4	0.0	0.0
Ctnnb1	0.0	0.0
Cdh2	0.0	0.0
Mapk12	0.0	0.0
Bnip2	0.0	0.0
Tcf3	0.0	0.0
Cdh4	0.0	0.0
Spag9	0.0	0.0
Ctnna2	0.0	0.0
Ctnna1	0.0	0.0
Myod1	0.0	0.0
Cdh15	0.0	0.0
Cdon	0.0	0.0
Tcf12	0.0	0.0
Mef2d	0.0	0.0
Mef2a	0.0	0.0
Myf6	0.0	0.0
Cdc42	0.0	0.0
Myog	0.0	0.0
Mef2b	0.0	0.0
Myf5	0.0	0.0
Stx1a	0.0	0.0
Adam11	0.0	0.0
Lgi4	0.0	0.0
Lgi3	0.0	0.0
Cacng8	0.0	0.0
Dlg4	0.0	0.0
Lgi2	0.0	0.0
Lgi1	0.0	0.0
Stx1b	0.0	0.0
Adam23	0.0	0.0
Cacng2	0.0	0.0
Adam22	0.0	0.0
Cacng4	0.0	0.0
Cacng3	0.0	0.0
Dsp	0.0	0.0
Krt87	0.0	0.0
Krt7	0.0	0.0
Tchh	0.0	0.0
Casp14	0.0	0.0
Pkp1	0.0	0.0
Krt79	0.0	0.0
Sprr1b	0.0	0.0
Rptn	0.0	0.0
Krt12	0.0	0.0
Pkp4	0.0	0.0
Krt6b	0.0	0.0
Evpl	0.0	0.0
Krt4	0.0	0.0
Krt83	0.0	0.0
Dsg2	0.0	0.0
Krt71	0.0	0.0
Krt1	0.0	0.0
Lipm	0.0	0.0
Krt84	0.0	0.0
Dsg4	0.0	0.0
Krt39	0.0	0.0
Lce1b	0.0	0.0
Krt25	0.0	0.0
Krt76	0.0	0.0
Krt17	0.0	0.0
Krt40	0.0	0.0
Ppl	0.0	0.0
Gm5414	0.0	0.0
Krt31	0.0	0.0
Krt18	0.0	0.0
Krt35	0.0	0.0
Pkp3	0.0	0.0
Krt72	0.0	0.0
Lipk	0.0	0.0
Krt34	0.0	0.0
Dsc3	0.0	0.0
Krt9	0.0	0.0
Krt33a	0.0	0.0
Lce1g	0.0	0.0
Lce1l	0.0	0.0
Krt80	0.0	0.0
Krt26	0.0	0.0
Krt13	0.0	0.0
Krt19	0.0	0.0
Krt10	0.0	0.0
Pkp2	0.0	0.0
Krt73	0.0	0.0
Krt27	0.0	0.0
Klk5	0.0	0.0
Krt75	0.0	0.0
Kazn	0.0	0.0
Gm36368	0.0	0.0
Jup	0.0	0.0
Dsg3	0.0	0.0
Krt74	0.0	0.0
Krt20	0.0	0.0
Krt78	0.0	0.0
Krt23	0.0	0.0
Krt32	0.0	0.0
Krt81	0.0	0.0
Krt33b	0.0	0.0
Krt8	0.0	0.0
Krt82	0.0	0.0
Krt77	0.0	0.0
Lipn	0.0	0.0
Krt36	0.0	0.0
Klk8	0.0	0.0
Cdsn	0.0	0.0
Tgm1	0.0	0.0
Dsc1	0.0	0.0
Lce1f	0.0	0.0
Gm5478	0.0	0.0
Stfa3	0.0	0.0
Krt86	0.0	0.0
Dsc2	0.0	0.0
Krt6a	0.0	0.0
Dsg1a	0.0	0.0
Perp	0.0	0.0
Krt2	0.0	0.0
Krt28	0.0	0.0
Krt16	0.0	0.0
Cela2a	0.0	0.0
Krt24	0.0	0.0
Krt15	0.0	0.0
Rara	0.0	0.0
Cebpa	0.0	0.0
Rhoa	0.0	0.0
Arpc3	0.0	0.0
Efnb3	0.0	0.0
Arpc4	0.0	0.0
Actr3	0.0	0.0
Efnb1	0.0	0.0
Pak1	0.0	0.0
Arpc5	0.0	0.0
Hras	0.0	0.0
Arpc2	0.0	0.0
Arpc1b	0.0	0.0
Itsn1	0.0	0.0
Arhgef28	0.0	0.0
Ephb6	0.0	0.0
Efnb2	0.0	0.0
Arpc1a	0.0	0.0
Grin1	0.0	0.0
Ephb1	0.0	0.0
Rock2	0.0	0.0
Actb	0.0	0.0
Kalrn	0.0	0.0
Ephb2	0.0	0.0
Rasa1	0.0	0.0
Rock1	0.0	0.0
Sdc2	0.0	0.0
Actr2	0.0	0.0
Ptk2	0.0	0.0
Ephb3	0.0	0.0
Rac1	0.0	0.0
Yes1	0.0	0.0
Ephb4	0.0	0.0
Actg1	0.0	0.0
Epha1	0.0	0.0
Epha8	0.0	0.0
Epha5	0.0	0.0
Epha4	0.0	0.0
Efna4	0.0	0.0
Efna2	0.0	0.0
Epha6	0.0	0.0
Epha7	0.0	0.0
Efna1	0.0	0.0
Efna3	0.0	0.0
Ngef	0.0	0.0
Epha2	0.0	0.0
Epha10	0.0	0.0
Efna5	0.0	0.0
Pak2	0.0	0.0
Pak3	0.0	0.0
Sdcbp	0.0	0.0
Git1	0.0	0.0
Arhgef7	0.0	0.0
Psenen	0.0	0.0
Mmp9	0.0	0.0
Aph1b	0.0	0.0
Mmp2	0.0	0.0
Vav3	0.0	0.0
Vav2	0.0	0.0
Aph1a	0.0	0.0
Psen1	0.0	0.0
Ncstn	0.0	0.0
Dscaml1	0.0	0.0
Dscam	0.0	0.0
Mapk13	0.0	0.0
Dcc	0.0	0.0
Ntn1	0.0	0.0
Dock1	0.0	0.0
Trio	0.0	0.0
Limk1	0.0	0.0
Plxna2	0.0	0.0
Plxna1	0.0	0.0
Plxna3	0.0	0.0
Nrp1	0.0	0.0
Fes	0.0	0.0
Sema3a	0.0	0.0
Plxna4	0.0	0.0
Pip5k1c	0.0	0.0
Farp2	0.0	0.0
Tln1	0.0	0.0
Dpysl3	0.0	0.0
Cdk5	0.0	0.0
Crmp1	0.0	0.0
Cdk5r1	0.0	0.0
Dpysl5	0.0	0.0
Dpysl2	0.0	0.0
Dpysl4	0.0	0.0
Rnd1	0.0	0.0
Arhgap35	0.0	0.0
Rras	0.0	0.0
Plxnb1	0.0	0.0
Sema4d	0.0	0.0
Met	0.0	0.0
Rhoc	0.0	0.0
Erbb2	0.0	0.0
Arhgef12	0.0	0.0
Arhgef11	0.0	0.0
Rhob	0.0	0.0
Sema3e	0.0	0.0
Sema4a	0.0	0.0
Sema5a	0.0	0.0
Plxnb3	0.0	0.0
Plxnd1	0.0	0.0
Plxnc1	0.0	0.0
Sema7a	0.0	0.0
Ptprc	0.0	0.0
Trem2	0.0	0.0
Sema6d	0.0	0.0
Cd72	0.0	0.0
Ap2s1	0.0	0.0
Rdx	0.0	0.0
Ap2m1	0.0	0.0
Cltc	0.0	0.0
Ap2a2	0.0	0.0
Ezr	0.0	0.0
Dnm1	0.0	0.0
Msn	0.0	0.0
Clta	0.0	0.0
Dnm2	0.0	0.0
Dnm3	0.0	0.0
Ap2a1	0.0	0.0
Kif4	0.0	0.0
Ap2b1	0.0	0.0
Sh3gl2	0.0	0.0
Numb	0.0	0.0
Ank1	0.0	0.0
Sptan1	0.0	0.0
Spta1	0.0	0.0
Sptbn5	0.0	0.0
Sptbn4	0.0	0.0
Sptbn2	0.0	0.0
Sptb	0.0	0.0
Sptbn1	0.0	0.0
Itga5	0.0	0.0
Itga2b	0.0	0.0
Itgav	0.0	0.0
Fgfr1	0.0	0.0
Egfr	0.0	0.0
Itga9	0.0	0.0
Map2k2	0.0	0.0
Itgb3	0.0	0.0
Map2k1	0.0	0.0
Nfasc	0.0	0.0
Col9a1	0.0	0.0
Col6a3	0.0	0.0
Col3a1	0.0	0.0
Col6a5	0.0	0.0
Col4a2	0.0	0.0
Col4a4	0.0	0.0
Col6a1	0.0	0.0
Col6a2	0.0	0.0
Col4a3	0.0	0.0
Col9a3	0.0	0.0
Col5a2	0.0	0.0
Col5a3	0.0	0.0
Col6a6	0.0	0.0
St8sia2	0.0	0.0
Col9a2	0.0	0.0
St8sia4	0.0	0.0
Col2a1	0.0	0.0
Col4a1	0.0	0.0
Col4a5	0.0	0.0
Col5a1	0.0	0.0
Slit2	0.0	0.0
Abl2	0.0	0.0
Myo9b	0.0	0.0
Dag1	0.0	0.0
Usp33	0.0	0.0
Mapk7	0.0	0.0
Shank3	0.0	0.0
Irs2	0.0	0.0
Sos1	0.0	0.0
Gfra3	0.0	0.0
Pik3ca	0.0	0.0
Gab1	0.0	0.0
Grb10	0.0	0.0
Dok4	0.0	0.0
Pik3r1	0.0	0.0
Pdlim7	0.0	0.0
Shc3	0.0	0.0
Rap1gap	0.0	0.0
Grb7	0.0	0.0
Dok6	0.0	0.0
Gdnf	0.0	0.0
Nrtn	0.0	0.0
Ptpn11	0.0	0.0
Artn	0.0	0.0
Dok2	0.0	0.0
Plcg1	0.0	0.0
Gfra2	0.0	0.0
Ret	0.0	0.0
Dok1	0.0	0.0
Pik3cb	0.0	0.0
Shc1	0.0	0.0
Prkacb	0.0	0.0
Dok5	0.0	0.0
Pik3r3	0.0	0.0
Gfra1	0.0	0.0
Pik3r2	0.0	0.0
Pspn	0.0	0.0
Pik3cd	0.0	0.0
Frs2	0.0	0.0
Gfra4	0.0	0.0
Reln	0.0	0.0
Dab1	0.0	0.0
Vldlr	0.0	0.0
Sh3kbp1	0.0	0.0
Adgrg6	0.0	0.0
Chit1	0.0	0.0
Sis	0.0	0.0
Amy2a5	0.0	0.0
Chia1	0.0	0.0
Amy2a3	0.0	0.0
Lct	0.0	0.0
Amy1	0.0	0.0
Amy2a4	0.0	0.0
Mgam	0.0	0.0
Amy2a2	0.0	0.0
Pnliprp2	0.0	0.0
Lipf	0.0	0.0
Cel	0.0	0.0
Clps	0.0	0.0
Pnliprp1	0.0	0.0
Pnlip	0.0	0.0
Slc2a5	0.0	0.0
Slc5a1	0.0	0.0
Slc2a2	0.0	0.0
Ddi2	0.0	0.0
Rsc1a1	0.0	0.0
Pms2	0.0	0.0
Exo1	0.0	0.0
Lig1	0.0	0.0
Mlh1	0.0	0.0
Msh6	0.0	0.0
Msh2	0.0	0.0
Msh3	0.0	0.0
Mre11a	0.0	0.0
Parp1	0.0	0.0
Rbbp8	0.0	0.0
Xrcc1	0.0	0.0
Parp2	0.0	0.0
Lig3	0.0	0.0
Rad50	0.0	0.0
Polq	0.0	0.0
Nbn	0.0	0.0
Rad51	0.0	0.0
Top3a	0.0	0.0
Rhno1	0.0	0.0
Rmi2	0.0	0.0
Topbp1	0.0	0.0
Rmi1	0.0	0.0
Blm	0.0	0.0
Rad52	0.0	0.0
Kat5	0.0	0.0
Brip1	0.0	0.0
Spidr	0.0	0.0
Eme1	0.0	0.0
Gen1	0.0	0.0
Eme2	0.0	0.0
Palb2	0.0	0.0
Mus81	0.0	0.0
Rad51c	0.0	0.0
Xrcc2	0.0	0.0
Slx4	0.0	0.0
Rad51d	0.0	0.0
Slx1b	0.0	0.0
Rad51b	0.0	0.0
Brca2	0.0	0.0
Rad51ap1	0.0	0.0
Xrcc3	0.0	0.0
Rnf168	0.0	0.0
Sirt6	0.0	0.0
Babam2	0.0	0.0
Abraxas1	0.0	0.0
Ube2v2	0.0	0.0
Tipin	0.0	0.0
Herc2	0.0	0.0
Uimc1	0.0	0.0
Brcc3	0.0	0.0
Pias4	0.0	0.0
Ppp4c	0.0	0.0
Ppp4r2	0.0	0.0
Babam1	0.0	0.0
Sumo2	0.0	0.0
Mdc1	0.0	0.0
Rnf8	0.0	0.0
Timeless	0.0	0.0
Trp53bp1	0.0	0.0
Lig4	0.0	0.0
Polm	0.0	0.0
Xrcc5	0.0	0.0
Rif1	0.0	0.0
Tdp1	0.0	0.0
Tdp2	0.0	0.0
Xrcc6	0.0	0.0
Poll	0.0	0.0
Paxip1	0.0	0.0
Dclre1c	0.0	0.0
Xrcc4	0.0	0.0
Nhej1	0.0	0.0
Prkdc	0.0	0.0
Gm10184	0.0	0.0
Kpna2	0.0	0.0
Eya4	0.0	0.0
Ppp5c	0.0	0.0
Eya1	0.0	0.0
Baz1b	0.0	0.0
Eya3	0.0	0.0
Apbb1	0.0	0.0
Eya2	0.0	0.0
Rad23a	0.0	0.0
Cops3	0.0	0.0
Ino80d	0.0	0.0
Actr5	0.0	0.0
Rad23b	0.0	0.0
Cul4b	0.0	0.0
Ddb1	0.0	0.0
Ino80c	0.0	0.0
Cops7b	0.0	0.0
Actr8	0.0	0.0
Nfrkb	0.0	0.0
Gps1	0.0	0.0
Cul4a	0.0	0.0
Cops4	0.0	0.0
Cops8	0.0	0.0
Xpc	0.0	0.0
Ino80b	0.0	0.0
Ddb2	0.0	0.0
Yy1	0.0	0.0
Ino80	0.0	0.0
Cops2	0.0	0.0
Cops6	0.0	0.0
Cops5	0.0	0.0
Cops7a	0.0	0.0
Ino80e	0.0	0.0
Tfpt	0.0	0.0
Pias3	0.0	0.0
Rnf111	0.0	0.0
Xpa	0.0	0.0
Gtf2h5	0.0	0.0
Gtf2h4	0.0	0.0
Ercc4	0.0	0.0
Ercc2	0.0	0.0
Sumo3	0.0	0.0
Gtf2h3	0.0	0.0
Gtf2h2	0.0	0.0
Gtf2h1	0.0	0.0
Pias1	0.0	0.0
Ercc3	0.0	0.0
Usp45	0.0	0.0
Ercc1	0.0	0.0
Chd1l	0.0	0.0
Pole	0.0	0.0
Pole4	0.0	0.0
Polk	0.0	0.0
Pole3	0.0	0.0
Pole2	0.0	0.0
Uvssa	0.0	0.0
Polr2i	0.0	0.0
Hmgn1	0.0	0.0
Polr2e	0.0	0.0
Polr2l	0.0	0.0
Polr2h	0.0	0.0
Isy1	0.0	0.0
Zfp830	0.0	0.0
Ercc6	0.0	0.0
Aqr	0.0	0.0
Ercc8	0.0	0.0
Usp7	0.0	0.0
Ppie	0.0	0.0
Xab2	0.0	0.0
Polr2k	0.0	0.0
Polr2d	0.0	0.0
Polr2a	0.0	0.0
Tcea1	0.0	0.0
Polr2b	0.0	0.0
Polr2g	0.0	0.0
Prpf19	0.0	0.0
Polr2f	0.0	0.0
Polr2c	0.0	0.0
Fan1	0.0	0.0
Dclre1b	0.0	0.0
Fancb	0.0	0.0
Faap100	0.0	0.0
Usp1	0.0	0.0
Fanca	0.0	0.0
Poln	0.0	0.0
Wdr48	0.0	0.0
Fancg	0.0	0.0
Fancm	0.0	0.0
Fancc	0.0	0.0
Ube2t	0.0	0.0
Fanci	0.0	0.0
Fancf	0.0	0.0
Faap20	0.0	0.0
Fancd2	0.0	0.0
Fancl	0.0	0.0
Fance	0.0	0.0
Faap24	0.0	0.0
Dclre1a	0.0	0.0
Ogg1	0.0	0.0
Neil3	0.0	0.0
Mutyh	0.0	0.0
Mpg	0.0	0.0
Neil1	0.0	0.0
Tdg	0.0	0.0
Nthl1	0.0	0.0
Mbd4	0.0	0.0
Ung	0.0	0.0
Smug1	0.0	0.0
Neil2	0.0	0.0
Apex1	0.0	0.0
Adprs	0.0	0.0
Parg	0.0	0.0
Polb	0.0	0.0
Pnkp	0.0	0.0
Rev1	0.0	0.0
Rev3l	0.0	0.0
Mad2l2	0.0	0.0
Nploc4	0.0	0.0
Polh	0.0	0.0
Rchy1	0.0	0.0
Sprtn	0.0	0.0
Ufd1	0.0	0.0
Poli	0.0	0.0
Usp10	0.0	0.0
Usp43	0.0	0.0
Uba7	0.0	0.0
Isg15	0.0	0.0
Ube2l6	0.0	0.0
Trim25	0.0	0.0
Pclaf	0.0	0.0
Ube2b	0.0	0.0
Dtl	0.0	0.0
Rad18	0.0	0.0
Cdt1	0.0	0.0
Gmnn	0.0	0.0
Mmp15	0.0	0.0
Col15a1	0.0	0.0
Mmp14	0.0	0.0
Col7a1	0.0	0.0
Ctsk	0.0	0.0
Col13a1	0.0	0.0
Ctsb	0.0	0.0
Col11a2	0.0	0.0
Col19a1	0.0	0.0
Mmp10	0.0	0.0
Mmp8	0.0	0.0
Col1a1	0.0	0.0
Mmp13	0.0	0.0
Col8a2	0.0	0.0
Col10a1	0.0	0.0
Mmp20	0.0	0.0
Phykpl	0.0	0.0
Col18a1	0.0	0.0
Col1a2	0.0	0.0
Col8a1	0.0	0.0
Col12a1	0.0	0.0
Col4a6	0.0	0.0
Ctsl	0.0	0.0
Mmp12	0.0	0.0
Mmp11	0.0	0.0
Ctsd	0.0	0.0
Mmp1b	0.0	0.0
Col11a1	0.0	0.0
Tmprss6	0.0	0.0
Cma1	0.0	0.0
Plg	0.0	0.0
Klk1b1	0.0	0.0
Klk1b22	0.0	0.0
Klk1b26	0.0	0.0
Timp1	0.0	0.0
Ctrb1	0.0	0.0
Klk1b5	0.0	0.0
Furin	0.0	0.0
Klk1b24	0.0	0.0
Mmp25	0.0	0.0
Mmp24	0.0	0.0
Mmp16	0.0	0.0
Timp2	0.0	0.0
Klk1b8	0.0	0.0
Mmp17	0.0	0.0
Klk1b9	0.0	0.0
Klk1b3	0.0	0.0
Klk1b21	0.0	0.0
Klk1	0.0	0.0
Klk1b16	0.0	0.0
Spock3	0.0	0.0
Klk1b11	0.0	0.0
4930486L24Rik	0.0	0.0
Klkb1	0.0	0.0
Klk1b27	0.0	0.0
Tpsb2	0.0	0.0
Klk1b4	0.0	0.0
Ctsg	0.0	0.0
Elane	0.0	0.0
Col22a1	0.0	0.0
Col24a1	0.0	0.0
Col23a1	0.0	0.0
Col26a1	0.0	0.0
Col16a1	0.0	0.0
Col14a1	0.0	0.0
Col27a1	0.0	0.0
Col28a1	0.0	0.0
Col20a1	0.0	0.0
Tll1	0.0	0.0
Tll2	0.0	0.0
Bmp1	0.0	0.0
Loxl2	0.0	0.0
Loxl1	0.0	0.0
Lox	0.0	0.0
Pxdn	0.0	0.0
Pcolce	0.0	0.0
Loxl4	0.0	0.0
Loxl3	0.0	0.0
Bmp2	0.0	0.0
Mfap4	0.0	0.0
Fbn2	0.0	0.0
Ltbp3	0.0	0.0
Mfap2	0.0	0.0
Fbn1	0.0	0.0
Fbln2	0.0	0.0
Emilin3	0.0	0.0
Bmp7	0.0	0.0
Itgb6	0.0	0.0
Bmp4	0.0	0.0
Fbln5	0.0	0.0
Mfap1b	0.0	0.0
Tgfb1	0.0	0.0
Ltbp4	0.0	0.0
Bmp10	0.0	0.0
Mfap5	0.0	0.0
Tgfb3	0.0	0.0
Emilin2	0.0	0.0
Mfap1a	0.0	0.0
Mfap3	0.0	0.0
Gdf5	0.0	0.0
Ltbp1	0.0	0.0
Itgb8	0.0	0.0
Efemp2	0.0	0.0
Fn1	0.0	0.0
Emilin1	0.0	0.0
Tgfb2	0.0	0.0
Itga8	0.0	0.0
Ltbp2	0.0	0.0
Vtn	0.0	0.0
Eln	0.0	0.0
Ceacam1	0.0	0.0
Vcam1	0.0	0.0
Itgax	0.0	0.0
Bsg	0.0	0.0
Itga2	0.0	0.0
Itgam	0.0	0.0
Spp1	0.0	0.0
Vwf	0.0	0.0
Icam1	0.0	0.0
Itga4	0.0	0.0
Icam2	0.0	0.0
Itgal	0.0	0.0
Jam3	0.0	0.0
Itga1	0.0	0.0
Jam2	0.0	0.0
Itgad	0.0	0.0
Itgb7	0.0	0.0
Itga3	0.0	0.0
Tnc	0.0	0.0
Itga11	0.0	0.0
Thbs1	0.0	0.0
Itga10	0.0	0.0
Cd44	0.0	0.0
Icam4	0.0	0.0
Fga	0.0	0.0
Fgb	0.0	0.0
Lum	0.0	0.0
Fgg	0.0	0.0
Ibsp	0.0	0.0
Icam5	0.0	0.0
Itgae	0.0	0.0
Comp	0.0	0.0
Madcam1	0.0	0.0
Pecam1	0.0	0.0
Itgb2	0.0	0.0
Nid1	0.0	0.0
Lamb1	0.0	0.0
Lama2	0.0	0.0
Lamb2	0.0	0.0
Lamc3	0.0	0.0
Itga7	0.0	0.0
Lama5	0.0	0.0
Lama1	0.0	0.0
Nid2	0.0	0.0
Lama4	0.0	0.0
Fgf2	0.0	0.0
Sdc1	0.0	0.0
Sdc4	0.0	0.0
Sdc3	0.0	0.0
Agrn	0.0	0.0
Sparc	0.0	0.0
Dspp	0.0	0.0
Matn1	0.0	0.0
Dcn	0.0	0.0
Dmp1	0.0	0.0
Serpine1	0.0	0.0
Hapln1	0.0	0.0
Matn4	0.0	0.0
Tnr	0.0	0.0
Matn3	0.0	0.0
Tnn	0.0	0.0
Bcan	0.0	0.0
Vcan	0.0	0.0
Tnxb	0.0	0.0
Acan	0.0	0.0
Bgn	0.0	0.0
App	0.0	0.0
Adam19	0.0	0.0
Adam15	0.0	0.0
Sh3pxd2a	0.0	0.0
Adam12	0.0	0.0
Ago4	0.0	0.0
Prkra	0.0	0.0
Tarbp2	0.0	0.0
Ago1	0.0	0.0
Ago3	0.0	0.0
Ago2	0.0	0.0
Tsn	0.0	0.0
Tsnax	0.0	0.0
Tnrc6a	0.0	0.0
Tnrc6c	0.0	0.0
Tnrc6b	0.0	0.0
Ipo8	0.0	0.0
Phf19	0.0	0.0
Dnmt3b	0.0	0.0
Jarid2	0.0	0.0
Phf1	0.0	0.0
Mtf2	0.0	0.0
Dnmt1	0.0	0.0
Myo1c	0.0	0.0
Polr1h	0.0	0.0
Ddx21	0.0	0.0
Polr1b	0.0	0.0
Polr1f	0.0	0.0
Taf1d	0.0	0.0
Taf1b	0.0	0.0
Polr1c	0.0	0.0
Taf1c	0.0	0.0
Cd3eap	0.0	0.0
Mybbp1a	0.0	0.0
Sf3b1	0.0	0.0
Polr1e	0.0	0.0
Polr1a	0.0	0.0
Dek	0.0	0.0
Kat2b	0.0	0.0
Taf1a	0.0	0.0
Tbp	0.0	0.0
Kat2a	0.0	0.0
Rrp8	0.0	0.0
Mbd2	0.0	0.0
Tead1	0.0	0.0
Tead3	0.0	0.0
Tbx5	0.0	0.0
Tead4	0.0	0.0
Yap1	0.0	0.0
Tead2	0.0	0.0
Wwtr1	0.0	0.0
Ski	0.0	0.0
Usp9x	0.0	0.0
Tgif1	0.0	0.0
Tgif2	0.0	0.0
Smurf2	0.0	0.0
Nedd4l	0.0	0.0
Skil	0.0	0.0
Trim33	0.0	0.0
Ppm1a	0.0	0.0
Ccnt2	0.0	0.0
Atp1b4	0.0	0.0
Men1	0.0	0.0
Sp1	0.0	0.0
Ccnt1	0.0	0.0
Ccnc	0.0	0.0
Smad7	0.0	0.0
Ccnk	0.0	0.0
Cdk9	0.0	0.0
Cdk8	0.0	0.0
Hdac4	0.0	0.0
Hdac11	0.0	0.0
Notch4	0.0	0.0
Maml3	0.0	0.0
Rbpj	0.0	0.0
Notch3	0.0	0.0
Maml1	0.0	0.0
Maml2	0.0	0.0
Notch1	0.0	0.0
Hdac7	0.0	0.0
Mamld1	0.0	0.0
Hdac5	0.0	0.0
Cox6a1	0.0	0.0
Prkaa2	0.0	0.0
Ndufa4	0.0	0.0
Cox20	0.0	0.0
G6pdx	0.0	0.0
Cox11	0.0	0.0
Cox7c	0.0	0.0
Prkaa1	0.0	0.0
Prkag3	0.0	0.0
Ddit4	0.0	0.0
Sco1	0.0	0.0
Cox7b	0.0	0.0
mt-Co2	0.0	0.0
Sco2	0.0	0.0
Sesn3	0.0	0.0
Cox18	0.0	0.0
Cox5b	0.0	0.0
Cox6b1	0.0	0.0
Cox16	0.0	0.0
mt-Co1	0.0	0.0
Prkab1	0.0	0.0
Taco1	0.0	0.0
Cox7a2l	0.0	0.0
Cox4i1	0.0	0.0
Cox8a	0.0	0.0
Cox14	0.0	0.0
Cox19	0.0	0.0
Prkab2	0.0	0.0
Tsc2	0.0	0.0
Tsc1	0.0	0.0
Gls2	0.0	0.0
Cox5a	0.0	0.0
Tigar	0.0	0.0
Gpi1	0.0	0.0
mt-Co3	0.0	0.0
Prkag2	0.0	0.0
Gls	0.0	0.0
Surf1	0.0	0.0
Lrpprc	0.0	0.0
Taf10	0.0	0.0
Taf9	0.0	0.0
Trp53rkb	0.0	0.0
Taf12	0.0	0.0
Dyrk2	0.0	0.0
Taf5	0.0	0.0
Nuak1	0.0	0.0
Taf6	0.0	0.0
Pin1	0.0	0.0
Taf15	0.0	0.0
Plk3	0.0	0.0
Stk11	0.0	0.0
Taf7l	0.0	0.0
Taf4b	0.0	0.0
Taf4	0.0	0.0
Noc2l	0.0	0.0
Hipk2	0.0	0.0
Ssrp1	0.0	0.0
Trp53inp1	0.0	0.0
Taf9b	0.0	0.0
Taf3	0.0	0.0
Taf1	0.0	0.0
Hipk1	0.0	0.0
Taf7	0.0	0.0
Supt16	0.0	0.0
Taf13	0.0	0.0
Taf2	0.0	0.0
Ak6	0.0	0.0
Taf11	0.0	0.0
Ing2	0.0	0.0
Pip4k2c	0.0	0.0
Pip4k2b	0.0	0.0
Pip4k2a	0.0	0.0
Pip4p1	0.0	0.0
Ppp1r13b	0.0	0.0
Banp	0.0	0.0
Trp63	0.0	0.0
Trp53bp2	0.0	0.0
Pou4f2	0.0	0.0
Ppp1r13l	0.0	0.0
Pou4f1	0.0	0.0
Trp73	0.0	0.0
Jmy	0.0	0.0
L3mbtl1	0.0	0.0
Ttc5	0.0	0.0
Usp2	0.0	0.0
Rictor	0.0	0.0
Sgk1	0.0	0.0
Rffl	0.0	0.0
Mapkap1	0.0	0.0
Rnf34	0.0	0.0
Prr5	0.0	0.0
Ccng1	0.0	0.0
Pdpk1	0.0	0.0
Bnip3l	0.0	0.0
Triap1	0.0	0.0
Steap3	0.0	0.0
Prelid3a	0.0	0.0
Zfp420	0.0	0.0
Prelid1	0.0	0.0
Rabggta	0.0	0.0
Rabggtb	0.0	0.0
Chm	0.0	0.0
Casp2	0.0	0.0
Igfbp3	0.0	0.0
Gadd45a	0.0	0.0
Bax	0.0	0.0
Btg2	0.0	0.0
Cnot11	0.0	0.0
Cnot10	0.0	0.0
Cnot6l	0.0	0.0
Tnks1bp1	0.0	0.0
Cnot4	0.0	0.0
Plk2	0.0	0.0
Cnot6	0.0	0.0
Cnot8	0.0	0.0
Cnot9	0.0	0.0
Cnot7	0.0	0.0
Cnot3	0.0	0.0
Cnot2	0.0	0.0
Cnot1	0.0	0.0
E2f7	0.0	0.0
E2f8	0.0	0.0
Gtf2f1	0.0	0.0
Cdk13	0.0	0.0
Supt4a	0.0	0.0
Nelfcd	0.0	0.0
Ctdp1	0.0	0.0
Cdk12	0.0	0.0
Supt5	0.0	0.0
Eloa	0.0	0.0
Gtf2f2	0.0	0.0
Nelfa	0.0	0.0
Nelfe	0.0	0.0
Ell	0.0	0.0
Esr1	0.0	0.0
Esrra	0.0	0.0
Rarg	0.0	0.0
Nr1i3	0.0	0.0
Med1	0.0	0.0
Nr2c1	0.0	0.0
Nr4a1	0.0	0.0
Nr5a2	0.0	0.0
Nrbp1	0.0	0.0
Esrrg	0.0	0.0
Nr2f1	0.0	0.0
Nr2e3	0.0	0.0
Nrbf2	0.0	0.0
Nr0b2	0.0	0.0
Rarb	0.0	0.0
Ppard	0.0	0.0
Vdr	0.0	0.0
Nr1h4	0.0	0.0
Nr4a3	0.0	0.0
Esrrb	0.0	0.0
Rorc	0.0	0.0
Nr6a1	0.0	0.0
Rora	0.0	0.0
Nr2e1	0.0	0.0
Nr1h3	0.0	0.0
Nr1d1	0.0	0.0
Nr1i2	0.0	0.0
Nr1h2	0.0	0.0
Esr2	0.0	0.0
Ppara	0.0	0.0
Rorb	0.0	0.0
Thrb	0.0	0.0
